"FilerEIN","FilerName1","TitleTxt","PersonNm","salutation","suffix","first_name","last_name","PRE","POST","FormYr","N","complete.panel","TOTCOMP","gender","TYPE","BASELINE.MALE","BASELINE.FEMALE","GEN.CHANGE","pre","post","male","GENDER.PRE","GENDER.POST","pre.male","post.male","NTEE1","HEALTH","EDU","HOSP","UNIV","TOTEMPLOYEE","TOTVOLUNTEERS","TOTNETASSETSBEGYEAR","TOTNETASSETSENDYEAR","TOTLIABNABEGYEAR","TOTLIABNAENDYEAR","CONTRIBPRIOR","CONTRIBCURRENT","GROSSRECEIPTS","TOTFUNDEXP","PSRPRIOR","PSRCURRENT","TOTALREVCURRENT","TOTALREVPRIOR","INVINCCURRENT","INVINCPRIOR","SALARIESPRIOR","SALARIESCURRENT","TOTALEXPPRIOR","TOTALEXPCURRENT","REVLESSEXPPRIOR","REVLESSEXPCURRENT","TOTALASSETSBEGYEAR","TOTALASSETSENDYEAR","TOTALLIABBEGYEAR","TOTALLIABENDYEAR","NETASSETSBEGYEAR","NETASSETSENDYEAR","CASHBEGYEAR","CASHENDYEAR","SAVINVBEGYEAR","SAVINVENDYEAR","TOTALPROGSERVEXP","Trustee","TRUST","AvgHrs","RptCmpOrg","RptCmpRltd","OtherComp","totalComp","FISYR","inf.factor"
"208508128","Girls on the Run Serving Greater Kansas City","Executive Director","Lisa Pickard","","","LISA","PICKARD","PRE","",2015,1,TRUE,66499,"F","F-F",0,1,0,1,0,0,"F","F",0,0,"P",0,0,0,0,"8","2200","456261","481527","483340","513897","348277","314909","786166","88467","527702","440977","744171","883498","1790","1076","274915","339621","804949","721063","78549","23108","483340","513897","27079","32370","456261","481527","125410","70657","308161","195251","488703",0,0,40,64250,0,0,64250,"2015",1.035
"208508128","Girls on the Run Serving Greater Kansas City","Executive Director","Gina Krahulik","","","GINA","KRAHULIK","","POST",2017,1,TRUE,86450,"F","F-F",0,1,0,0,1,0,"F","F",0,0,"P",0,0,0,0,"9","2200","502842","827949","551471","866316","281782","622978","1535588","124772","765520","846035","1481582","1063925","-4102","3473","364794","410776","1041379","1153323","22546","328259","551471","866316","48629","38367","502842","827949","274820","251422","32354","364213","864142",0,0,40,82650,0,2022,84672,"2017",1.021
"208530747","RESULTS FOR DEVELOPMENT INSTITUTE INC","PRESIDENT","DAVID DE FERRANTI","","","DAVID","DE-FERRANTI","PRE","",2015,1,TRUE,341110,"M","M-F",1,0,1,1,0,1,"M","F",1,0,"Q",0,0,0,0,"152","16","9787875","14377227","12078846","19978007","12713431","19316015","25442182","21806","6650935","6009167","25335668","19315341","-22828","-58070","7942743","10435327","18032716","20753340","1282625","4582328","12078846","19978007","2290971","5600780","9787875","14377227","9957","96674","6568927","9830939","16994800",0,0,40,315000,0,14575,329575,"2015",1.035
"208530747","RESULTS FOR DEVELOPMENT INSTITUTE INC","PRESIDENT & CEO","GINA LAGOMARSINO","","","GINA","LAGOMARSINO","","POST",2017,1,TRUE,387202,"F","M-F",1,0,1,0,1,0,"M","F",0,0,"Q",0,0,0,0,"157","16","24019730","30074242","29497043","35454024","27673545","29324861","32802633","27786","5827995","3390728","32802633","33636641","14548","19514","11812460","14508090","23994138","26759196","9642503","6043437","29497043","35454024","5477313","5379782","24019730","30074242","99686","156921","15379201","8079142","21663880",0,0,40,356325,0,22913,379238,"2017",1.021
"208565889","TFI COMMUNITY CHILDCARE INC","EXEC DIR/C TREA","RICHARD T WRIGHT","","","RICHARD","WRIGHT","PRE","",2010,1,TRUE,93067,"M","M-F",1,0,1,1,0,1,"M","F",1,0,NA,0,0,0,0,"124","2","-325852","-680393","637996","854603","115189","149958","2642913","9066","2297394","2424569","2642913","2413367","0","0","1752431","1668037","2694813","2997454","-281446","-354541","637996","854603","963848","1534996","-325852","-680393","203598","196058","0","0","2597220",0,0,10,0,72505,9492,81997,"2010",1.135
"208565889","TFI COMMUNITY CHILDCARE INC","CEO","SHIRLEY DWYER","","","SHIRLEY","DWYER","","POST",2012,1,TRUE,145224,"F","M-F",1,0,1,0,1,0,"M","F",0,0,NA,0,0,0,0,"134","0","-1095505","0","521361","0","283874","247532","1526416","0","1921232","1262218","1253360","2218806","-264306","6","1558281","1200351","2633918","1907398","-415112","-654038","521361","0","1616866","0","-1095505","0","135287","0","0","0","1715600",0,0,10,0,120926,12675,133601,"2012",1.087
"208568061","PLAYING FOR CHANGE FOUNDATION","EXECUTIVE DIRECTOR","ELIZABETH HUNTER","","","ELIZABETH","HUNTER","PRE","",2015,1,TRUE,86940,"F","F-M",0,1,1,1,0,0,"F","M",0,0,"Q",0,0,0,0,"2","215","184112","138732","201355","149345","663616","656461","722914","70812","0","34987","694610","663631","0","15","108749","197867","660185","739990","3446","-45380","201355","149345","17243","10613","184112","138732","128912","95736","0","0","499184",0,0,40,84000,0,0,84000,"2015",1.035
"208568061","PLAYING FOR CHANGE FOUNDATION","EXECUTIVE DIRECTOR","JOHN MCKENNA","","","JOHN","MCKENNA","","POST",2017,1,TRUE,83868,"M","F-M",0,1,1,0,1,1,"F","M",0,1,"Q",0,0,0,0,"1","130","100944","91492","254643","107380","605914","1006550","1006568","83785","26423","0","976368","683847","18","74","176874","153726","721635","835820","-37788","140548","254643","107380","153699","15888","100944","91492","219125","61723","0","0","479195",0,0,40,73936,0,8207,82143,"2017",1.021
"208580107","SPECIAL KIDS CRUSADE","Executive Direc","JIM COLLINS","","","JIM","COLLINS","PRE","",2014,1,TRUE,66859,"M","M-F",1,0,1,1,0,1,"M","F",1,0,"P",0,0,0,0,"93","80","272197","326921","351971","419353","82040","146913","1038290","0","842244","876407","1038290","930273","0","0","674375","798385","813978","983566","116295","54724","351971","419353","79774","92432","272197","326921","254450","308994","0","0","813770",0,0,40,63615,0,0,63615,"2014",1.051
"208580107","SPECIAL KIDS CRUSADE","Executive Dir.","LORI MCDONNAL","","","LORI","MCDONNAL","","POST",2016,1,TRUE,82499,"F","M-F",1,0,1,0,1,0,"M","F",0,0,"P",0,0,0,0,"78","80","394891","465304","432867","484979","132634","133392","518450","24252","823728","358255","518450","961116","6660","106","720305","342483","892741","448037","68375","70413","432867","484979","37976","19675","394891","465304","323192","388347","0","0","391361",0,0,40,70000,0,9786,79786,"2016",1.034
