"pnhwht12","pnhblk12","phisp12","pntv12","pfb12","polang12","phs12","pcol12","punemp12","pflabf12","pprof12","pmanuf12","pvet12","psemp12","hinc12","incpc12","ppov12","pown12","pvac12","pmulti12","mrent12","mhmval12","p30old12","p10yrs12","p18und12","p60up12","p75up12","pmar12","pwds12","pfhh12"
94.19000244,0.839999974,0,0.889999986,1.929999948,2.710000038,48.56999969,21.19000053,4.960000038,57.09000015,31.67000008,12.90999985,16.52000046,10.09000015,55556,28698,5.340000153,78.45999908,7.329999924,1.620000005,549,122800,56.95000076,39.47999954,21.81999969,23.20999908,6.309999943,58.13000107,16.29000092,0
49.50999832,15.11999989,34.22999954,0,5.53000021,25.64999962,54.15000153,14.15999985,18.82999992,41.40999985,25.12000084,7.139999866,8.890000343,4.920000076,22438,16496,35.18999863,35.90000153,9.720000267,56.95999908,724,111900,33.22999954,84.93000031,21.04999924,24.62000084,11.88000011,29.38999939,38.56999969,17.70999908
55.86999893,18.79999924,14.32999992,0,11.44999981,16.81999969,32.20999908,30.28000069,8.5,65.26000214,37.5,6.420000076,21.39999962,5.769999981,82679,23579,8.630000114,84.88999939,10.51000023,5.039999962,1193,180500,2.690000057,85.01999664,36.81000137,6.579999924,1.529999971,58.75,14.89999962,12.77999973
26.87999916,71.81999969,0.25999999,0,0.159999996,0.170000002,63.06000137,13.67000008,15.82999992,51.77999878,24.03000069,15.34000015,6.829999924,6.909999847,29335,17708,27.82999992,69.23000336,12.18000031,5.269999981,344,65500,57.06999969,47.29999924,28.20000076,20.87999916,6.53000021,31.26000023,31.65999985,31.78000069
77.54000092,11.71000004,10.75,0,0.649999976,6.110000134,59.88000107,7.329999924,9.789999962,46.15000153,20.45000076,13.30000019,12.27999973,2.75999999,32847,15900,31.62000084,59.79000092,11.13000011,17.51000023,475,77200,97.66999817,51.93999863,28.13999939,22.51000023,7.889999866,50.22999954,14.85000038,19.23999977
98.43000031,0,0.649999976,0,0.379999995,2.059999943,61.95000076,19.90999985,8.25,58.34999847,27.01000023,15.93999958,9.409999847,4.28000021,52051,26308,10.01000023,81.19999695,6.110000134,8.640000343,482,122900,57.09999847,40.56999969,13.97000027,29.35000038,13.61999989,56.58000183,20.45000076,4.269999981
12.30000019,68.56999969,17.51000023,0,4.03000021,20.21999931,83.77999878,1,78.12999725,1.210000038,100,0,3.390000105,0,0,11142,55.18999863,0,0,0,0,0,0,0,0.439999998,1.220000029,0.02,7.159999847,10.86999989,0
92.98999786,3.099999905,2.859999895,0.790000021,2.089999914,1.75,42.13000107,29.23999977,6.260000229,69.01000214,38.29999924,7.820000172,11.43000031,8.5,53599,24140,5.019999981,75.63999939,4.5,7.650000095,483,131200,45.33000183,58.59000015,26.48999977,18.32999992,3.799999952,53.5,21.87999916,16.55999947
0.289999992,23.25,71.30000305,0,43.33000183,74.45999908,63.08000183,16.13999939,10.94999981,65.61000061,17.04999924,7.570000172,2.049999952,7.480000019,55436,15547,12.02999973,97.43000031,3.119999886,0,898,118100,4.650000095,95.73999786,38.15999985,3.680000067,1.590000033,49.86000061,13.46000004,20.94000053
75.98999786,12.02999973,4,0,8.06000042,10.22999954,25.87000084,39.49000168,4.599999905,61.74000168,46.54999924,10.11999989,10.47000027,4.03000021,66123,32857,3.099999905,91.23000336,2.039999962,13.56999969,684,153300,97.95999908,55.59999847,19.29999924,18.03000069,10.68000031,47.41999817,16.37999916,6.349999905
